Code,Name,Geography,POP2019
E09000007,Camden,London Borough,270029
E09000001,City of London,London Borough,9721
E09000012,Hackney,London Borough,281120
E09000013,Hammersmith and Fulham,London Borough,185143
E09000014,Haringey,London Borough,268647
E09000019,Islington,London Borough,242467
E09000020,Kensington and Chelsea,London Borough,156129
E09000022,Lambeth,London Borough,326034
E09000023,Lewisham,London Borough,305842
E09000025,Newham,London Borough,353134
E09000028,Southwark,London Borough,318830
E09000030,Tower Hamlets,London Borough,324745
E09000032,Wandsworth,London Borough,329677
E09000033,Westminster,London Borough,261317
E09000002,Barking and Dagenham,London Borough,212906
E09000003,Barnet,London Borough,395869
E09000004,Bexley,London Borough,248287
E09000005,Brent,London Borough,329771
E09000006,Bromley,London Borough,332336
E09000008,Croydon,London Borough,386710
E09000009,Ealing,London Borough,341806
E09000010,Enfield,London Borough,333794
E09000011,Greenwich,London Borough,287942
E09000015,Harrow,London Borough,251160
E09000016,Havering,London Borough,259552
E09000017,Hillingdon,London Borough,306870
E09000018,Hounslow,London Borough,271523
E09000021,Kingston upon Thames,London Borough,177507
E09000024,Merton,London Borough,206548
E09000026,Redbridge,London Borough,305222
E09000027,Richmond upon Thames,London Borough,198019
E09000029,Sutton,London Borough,206349
E09000031,Waltham Forest,London Borough,276983